Angehörige-ID,Nachname,Vorname,Straße + Hnr,PLZ,Wohnort,zugehöriger Patient,Patienten-Nr,Telefon,E-Mail,Beziehung zum Patienten,letzter Kontakt,Art des Kontaktes,Notizen,Rolle
A0244,Bähr,Alma,Gertraud-Reichmann-Platz 28,43397,Pfaffenhofen an der Ilm,Lehmann Rudolf,P0757,(05690) 705626,raedelmanfred@example.com,Freund,2025-01-31,Brief,Zu mehr fünf ein.,Angehöriger
A0245,Cichorius,Kristina,Leonhard-Ladeck-Allee 93,09520,Hammelburg,Löffler Edwin,P0604,0152654610,igorweller@example.net,Nachbar,2025-04-01,E-Mail,Letzte lernen wo Freund Geschenk Minute beim.,Angehöriger
A0246,Ladeck,Angelo,Sigrun-Bähr-Ring 37,38249,Mellrichstadt,Jacobi Jäckel Alberto,P0103,+49(0)8325 823868,aberger@example.com,Kind,2025-06-08,Brief,Gab Zeit ab Wiese las neu uns Herr.,Angehöriger
A0247,Schüler,Nikola,Cornelia-Pergande-Ring 30,28914,Lemgo,Heß Hans-Erich,P0370,+49(0)2846 398554,pheydrich@example.net,Kind,2025-06-12,Brief,Erzählen wollen gewinnen Welt davon werden.,Angehöriger
A0248,Mülichen,Ehrentraud,Sabine-Anders-Allee 2,68768,Stadtroda,Reuter Danica,P0726,(01807) 15695,xgierschner@example.net,Nachbar,2025-06-13,Besuch,Kommen will Katze Fahrrad.,Angehöriger
A0249,Werner,Alois,Stiffelweg 36,31943,Niesky,Drubin Canan,P0047,00479303614,jgeissler@example.org,Ehepartner,2025-04-14,E-Mail,Sagen nicht dunkel natürlich sieht darin Wiese.,Angehöriger
A0250,Heidrich,Nadeshda,Gröttnerallee 38,89487,Main-Höchst,Stumpf Woldemar,P0715,(00566) 41877,anna-lena03@example.org,Kind,2025-02-03,Videocall,Mama gern hin Glas wahr Tante.,Angehöriger
A0251,Hecker,Jessica,Bruderplatz 14,25411,Neubrandenburg,Schaaf Gunar,P0894,0095431735,kadeannamaria@example.org,Ehepartner,2025-06-05,E-Mail,Ob Sonne offen Nacht bis Baum Apfel genau.,Angehöriger
A0252,Täsche,Minna,Lieschen-Eckbauer-Gasse 37,04961,Säckingen,Walter Siegrid,P0481,+49(0)8046619639,metzrandolf@example.com,Freund,2025-05-09,Videocall,Nämlich Glück Winter später Klasse gewinnen Eis Brot.,Angehöriger
A0253,Trüb,Diane,Delia-Zobel-Platz 44,84567,Erding,Kobelt Fernando,P0189,+49(0) 200249685,corina82@example.org,Ehepartner,2025-03-10,Brief,Glücklich Haus Affe nass scheinen Bauer letzte um.,Angehöriger
A0254,Bloch,Natali,Kaulplatz 62,31537,Saulgau,Naser Mehdi,P0117,09959465217,oderwaldheinz-peter@example.org,Ehepartner,2025-04-10,Videocall,Krank essen langsam sonst Tisch.,Angehöriger
A0255,Warmer,Malgorzata,Haeringstraße 63,05015,Rathenow,Geisler Augusta,P0076,+49(0)2473 950033,halil34@example.net,Nachbar,2025-01-15,Telefon,Finden Ende durch frei bringen Tür dein.,Angehöriger
A0256,Zirme,Gerda,Mike-Häring-Ring 20,35528,Waren,Börner Liselotte,P0153,+49(0)1223 386559,pschuster@example.org,Nachbar,2025-05-03,Brief,Einigen Mann steigen gewinnen Ball stellen von verkaufen.,Angehöriger
A0257,Sauer,Wendelin,Häringweg 11,79128,Wolmirstedt,Hering Leonore,P0255,(08578) 72558,ftrubin@example.com,Ehepartner,2025-02-02,E-Mail,Packen steigen Rad erst waschen Kind.,Angehöriger
A0258,Kroker,Horst-Günter,Leonard-Löffler-Straße 98,54812,Hamburg,Wieloch Eberhard,P0427,08539 078956,bmosemann@example.com,Nachbar,2025-02-20,E-Mail,Gern Herz eigentlich Fenster plötzlich Hand Bild.,Angehöriger
A0259,Otto,Mercedes,Lilija-Hofmann-Platz 80,11508,Holzminden,Tröst Margrit,P0232,+49(0) 544439284,winklerkrzysztof@example.com,Nachbar,2025-05-14,Videocall,Wissen traurig Sohn allein reich zusammen.,Angehöriger
A0260,Fischer,Ursula,Heidrichplatz 58,73898,Werdau,Wilms Marijan,P0931,05153 663778,koesterfredi@example.net,Freund,2025-05-23,Brief,Wirklich Affe Teller Uhr Glück.,Angehöriger
A0261,Löffler,Siegbert,Wiekallee 76,59090,Döbeln,Pölitz Inka,P0440,09999663618,egraf@example.org,Enkel,2025-02-13,E-Mail,Packen gehen drei schauen dürfen tun nicht.,Angehöriger
A0262,Gotthard,Andrew,Christof-Krause-Ring 80,34817,Kelheim,Seifert Theodora,P0062,00256 62128,vmueller@example.org,Nachbar,2025-02-24,Telefon,Das erschrecken jetzt schwarz lachen.,Angehöriger
A0263,Ruppert,Dörte,Schaafplatz 98,43027,Lippstadt,Eckbauer Amalia,P0213,(03859) 777901,freya75@example.net,Geschwister,2025-05-18,Besuch,Hin treffen vergessen ihr eigentlich.,Angehöriger
A0264,Wagner,Ellen,Mielcarekstraße 34,91603,Gunzenhausen,Lindner Sylke,P0677,(08413) 76815,wendeegon@example.net,Ehepartner,2025-05-04,Besuch,Ich dort erst Auge anfangen packen.,Angehöriger
A0265,Weiß,Gusti,Kranzring 31,36004,Wanzleben,Heß Thies,P0178,+49 (0) 5777 118372,kholsten@example.org,Nachbar,2025-05-17,Telefon,Brief Garten Mann hin besser Sonne scheinen dick.,Angehöriger
A0266,Gieß,Orhan,Inna-Beer-Allee 21,70816,Melle,Hiller Raik,P0003,+49(0)9006335331,linkeandre@example.org,Freund,2025-02-14,Videocall,Schenken beide wollen brauchen um.,Angehöriger
A0267,Geisel,Giovanna,Baldur-Liebelt-Weg 89,55839,Potsdam,Kühnert Albertine,P0609,0613315520,usoeding@example.org,Freund,2025-02-24,Brief,Fahren rennen Fußball oder Auge war ihm.,Angehöriger
A0268,Scheuermann,Kristiane,Dobesweg 5,41956,Holzminden,Eimer Mattias,P0238,+49 (0) 5715 099768,almuthschaaf@example.net,Enkel,2025-06-13,Brief,Am Sohn daran Ferien Jahr.,Angehöriger
A0269,Scholl,Ingmar,Bruno-Etzler-Ring 90,43263,Germersheim,Anders Wigbert,P0881,(07524) 508640,milkawagner@example.com,Freund,2025-02-15,Telefon,Meer weinen ruhig Finger schlagen.,Angehöriger
A0270,Hartung,Irmgard,Pölitzring 88,70171,Badoberan,Jacob Semra,P0240,(02321) 29833,loosisabelle@example.com,Enkel,2025-02-09,E-Mail,Finden durch Fisch fünf kein.,Angehöriger
A0271,Gutknecht,Evi,Zänkerstraße 85,56627,Lüneburg,Bärer Fredy,P0824,09627 06614,birgittvogt@example.org,Kind,2025-01-31,Videocall,Gehören führen Musik langsam ging schwimmen Ende.,Angehöriger
A0272,Grein Groth,Silvia,Aleksej-Otto-Allee 15,76665,Neustadtner Waldnaab,Wieloch Friedhold,P0558,+49(0)9160 16923,xhermighausen@example.net,Kind,2025-02-16,Besuch,Onkel Haus Bauer hier ins Finger lange.,Angehöriger
A0273,Klotz,Sonja,Hertha-Stadelmann-Allee 35,49724,Scheinfeld,Kruschwitz Irina,P0847,(02011) 669183,bgehringer@example.com,Kind,2025-04-20,Telefon,Zehn rennen heute gelb ihm vorbei sehr.,Angehöriger
A0274,Dörr,Dietmar,Fechnerring 8,64027,Bruchsal,Bachmann Gino,P0170,+49(0)6864 622522,zenongnatz@example.net,Enkel,2025-06-06,E-Mail,Mädchen es er singen Teller Eis zum.,Angehöriger
A0275,Lange,Oxana,Schomberstr. 96,21416,Göppingen,Budig Andrej,P0845,+49(0)5093 771004,stadelmannconstanze@example.org,Nachbar,2025-01-01,Brief,Stein her Loch Wort Freude laufen sofort.,Angehöriger
A0276,Lorch,Dörthe,Koch IIweg 57,53566,Jüterbog,Kobelt Mohamed,P0128,01076209184,paulmentzel@example.net,Freund,2025-04-19,Brief,Liegen richtig Abend packen wird Gesicht Onkel.,Angehöriger
A0277,Bien,Pascale,Stiebitzstraße 90,97691,Mainburg,Freudenberger Silvana,P0413,01649 328980,alenachristoph@example.com,Enkel,2025-05-16,E-Mail,Zurück krank Wasser wohnen las mehr fiel.,Angehöriger
A0278,Weller,Götz,Ehrenfried-Lübs-Allee 70,25643,Stollberg,Neuschäfer Veli,P0506,01287 153991,pietro68@example.com,Freund,2025-05-11,Telefon,Frau ganz da Glück nehmen.,Angehöriger
A0279,Weinhage,Hans-Heinrich,Christa-Maria-Koch-Platz 77,69040,Kyritz,Mangold Irmingard,P0041,0552899316,rennermonica@example.com,Freund,2025-02-10,Brief,Und leicht klein neun denn.,Angehöriger
A0280,Tintzmann,Gisela,Dorina-Juncken-Ring 78,49737,Vilsbiburg,Seifert Suse,P0257,0052330276,margarita20@example.net,Ehepartner,2025-02-24,Telefon,Scheinen zwei Sohn hin machen führen.,Angehöriger
A0281,Gude,Hermine,Dietzplatz 30,90472,Meißen,Wagner Gunther,P0985,04233 305912,rloos@example.org,Geschwister,2025-06-02,E-Mail,Halbe lachen wissen damit.,Angehöriger
A0282,Seip,Anke,Scheelstraße 76,63013,Neustadtner Waldnaab,Vollbrecht Hans-Theo,P0974,+49(0)9261 76475,dussen-vaneric@example.org,Ehepartner,2025-01-06,Brief,Familie nass zurück langsam Schluss Boden nehmen.,Angehöriger
A0283,Nette,Randolf,Huhnstr. 74,15182,Viechtach,Mälzer Gaetano,P0042,+49(0)6888718981,wallysorgatz@example.org,Kind,2025-01-17,Videocall,Schnee aber kaufen gerade Arzt müssen rechnen blau.,Angehöriger
A0284,Weller,Jerzy,Denny-Ebert-Weg 67,58260,Hannover,Löchel Tassilo,P0668,+49(0)8487297585,heiderosedippel@example.net,Freund,2025-05-14,Brief,Arbeiten den verstehen Essen dazu.,Angehöriger
A0285,Hande,Birgid,Holstenplatz 24,18446,Lippstadt,Wende Jorge,P0600,01462 831435,siegfriedfliegner@example.com,Freund,2025-06-14,Videocall,Herr wünschen Finger Freund Mama Schiff.,Angehöriger
A0286,Bolzmann,Rudolph,Schwitalgasse 12,54234,Burg,Hövel Bela,P0482,0361128497,raedelnicolas@example.net,Enkel,2025-03-29,Videocall,Milch nie Wasser drei wissen.,Angehöriger
A0287,Girschner,Reinhard,Weihmannweg 43,79240,Staßfurt,Weinhold Evi,P0329,+49 (0) 2694 053967,theoklapp@example.com,Geschwister,2025-03-16,Telefon,Woche Loch Schüler werfen fangen.,Angehöriger
A0288,Christoph,Evi,Ladeckallee 21,11131,Rockenhausen,Kuhl Edda,P0338,+49(0)1487068277,lachmannalex@example.net,Freund,2025-01-18,Videocall,Schwimmen schreien singen.,Angehöriger
A0289,Warmer,Ingolf,Edit-Meister-Platz 37,21528,Badoberan,Sager Karina,P0679,0762515381,kristian74@example.com,Freund,2025-01-22,E-Mail,Mögen etwas gehen Wiese Pferd trinken Arbeit kommen.,Angehöriger
A0290,Neuschäfer,Ellen,Nurettin-Albers-Weg 5,54510,Werdau,Koch II Remo,P0466,+49 (0) 6501 673188,salvatoreebert@example.com,Ehepartner,2024-12-16,Brief,Familie hinter Geburtstag Jahr ein.,Angehöriger
A0291,Heuser,Maren,Theo-Sontag-Straße 33,25605,Calau,Benthin Kunibert,P0332,+49(0) 402665023,rstadelmann@example.org,Ehepartner,2025-03-02,Videocall,Lehrer schicken darin singen spät holen sehr.,Angehöriger
A0292,Krebs,Jolanthe,Emanuel-Dörr-Gasse 66,25803,Sömmerda,Budig Andrej,P0845,06906744716,ellafliegner@example.net,Ehepartner,2025-03-18,E-Mail,Fährt dafür fressen schreiben ruhig.,Angehöriger
A0293,Gumprich,Stavros,Trappallee 60,89239,Geldern,Ullmann Hansjoachim,P0424,+49(0)2604 326093,birnbaumraimund@example.com,Ehepartner,2025-03-21,Besuch,Fahrrad ja bei ja bald.,Angehöriger
A0294,Heuser,Emil,Holtring 67,35020,Badoberan,Förster Hedda,P0371,(05347) 49162,tuelay75@example.com,Nachbar,2025-02-08,Videocall,Sache Schiff Spaß dauern.,Angehöriger
A0295,Weihmann,Oswald,Weimerallee 81,34396,Büsingen am Hochrhein,Meyer Kirstin,P0453,+49 (0) 9109 337118,ladislaus73@example.net,Ehepartner,2025-04-25,Besuch,Darin immer schwer.,Angehöriger
A0296,Werner,Rosa-Maria,Kobeltstraße 35,61768,Eggenfelden,Hecker Antonia,P0563,(04240) 903678,gehringertassilo@example.net,Kind,2025-02-23,Brief,Hund fröhlich einfach doch etwas schnell.,Angehöriger
A0297,Zobel,Rabea,Paffrathweg 57,43448,Eilenburg,Blümel Othmar,P0902,+49(0) 083402424,segebahnjacek@example.org,Geschwister,2025-03-22,Videocall,Polizei Oma Zeit.,Angehöriger
A0298,Carsten,Marten,Ullmannplatz 16,94500,Füssen,Dietz Erhardt,P0030,+49(0)2408 91649,margittamargraf@example.org,Geschwister,2025-02-12,E-Mail,Nah Tante sitzen die fehlen.,Angehöriger
A0299,Lübs,Ivanka,Finkestraße 31,72722,Ribnitz-Damgarten,Barth Daniela,P0727,02404 226931,claudioloos@example.org,Kind,2025-03-08,Brief,Brief machen sehr Tante nicht heraus.,Angehöriger
A0300,Dörschner,Alwin,Konstanze-Seifert-Gasse 71,31429,Amberg,Krebs Sieghard,P0015,+49(0)8513 279724,woldemar23@example.org,Nachbar,2025-03-24,Videocall,Oft daran trinken Brot geben.,Angehöriger
